"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
76,808967,"Yamamoto, Yoshinobu",76,100,0.222,0.037,0.25,0.259,0.21,0.238,0.233,6,27,91.4,0.5,2067,91,91.34,8,50,26,0.29999999999999716,6.5,111,149,119,151,294,319,298,"5.128","-5.128","74.0","7.3",27,24,5,1,0,0,3,11.1,0,0,2.25737,0.55427,0.52224,0.00513,"93.0",113,41.66666666666667,4.166666666666666,3.7037037037037033,5.47,-1.86,-0.41,2.02,0.222,1,"-6.747368421",0.233,0.32,"6.747368421",-0.011,-0.01100000000000001,-0.061,-0.028,16,"43.0",7.223287641759872,0.3285323237114604,35.46602840502264,0.5957446808510638,36.45365955496339,29.489780518125137
73,650911,"Sánchez, Cristopher",73,100,0.481,0.222,0.571,0.704,0.509,0.406,0.356,13,27,95.3,8.8,2102,91,91.89,4,38,35,0.9000000000000057,6.97,106,149,116,147,298,320,289,"-2.219","2.219","72.7","7.4",27,22,9,3,0,1,5,18.5,0,0,2.63589,0.15833,1.22667,-0.65222,"94.7",151,45.45454545454545,13.636363636363635,11.11111111111111,5.92,1.97,-0.42,2,0.481,3,"3.039726027",0.356,0.594,"-3.039726027",0.125,0.125,0.11,0.103,10.5,"29.9",7.683708038442827,-9.21297156066749,37.20826919614184,0.6111111111111112,33.92577349214942,34.21775444032451
71,592332,"Gausman, Kevin",71,100,0.308,0.115,0.348,0.423,0.314,0.327,0.283,8,26,89.9,16,1954,88.7,89.02,4,50,21,0.29999999999999716,6.69,113,148,115,148,293,324,296,"2.394","-2.394","71.8","7.5",26,23,5,3,0,0,3,11.5,0,0,2.07662,0.86915,0.9793,-0.17338,"92.8",176,52.17391304347826,13.043478260869565,11.538461538461538,5.73,-2.51,-0.4,2.01,0.308,3,"-3.371830986",0.283,0.493,"3.371830986",0.025,0.025000000000000022,-0.07,-0.013,8,"36.4",10.505470786655566,-9.908334811411416,36.540671541042876,0.46808510638297873,36.371142624405906,33.27298170437706
63,664285,"Valdez, Framber",63,100,0.217,0.043,0.238,0.261,0.208,0.272,0.266,5,23,93.1,3.2,2403,88.5,87.43,2,33,30,-1.0999999999999943,5.89,109,149,119,145,304,326,296,"3.895","-3.895","71.4","7.3",23,21,4,1,0,0,2,8.7,0,0,3.12206,-0.11714,0.42857,-0.44889,"95.2",126,57.14285714285714,0,0,5.98,0.72,-0.41,1.97,0.217,0,"-6.182539683",0.266,0.37,"6.182539683",-0.049,-0.049000000000000016,-0.109,-0.064,6.1,"41.6",8.502216125734273,-3.0289696107131334,36.397753895511464,0.53125,33.461078337050125,30.604066629527445
60,518876,"Kelly, Merrill",60,100,0.56,0.52,0.571,1.08,0.69,0.481,0.393,14,25,99.7,6,2316,88.6,88.13,1,44,16,-0.5,6.05,117,148,115,151,296,323,304,"-4.887","4.887","74.2","7.5",25,23,5,7,0,2,2,8,0,0,2.66133,0.26797,0.66517,-0.16183,"95.9",138,78.26086956521739,17.391304347826086,16,5.49,-1.93,-0.42,2.02,0.56,4,"8.145",0.393,0.744,"-8.145",0.167,0.16700000000000004,0.336,0.209,2.3,"24.0",10.583895010193176,-3.541315942399041,33.992209789422915,0.6341463414634146,37.78662525698316,31.338021228656984
59,668678,"Gallen, Zac",59,100,0.409,0.182,0.381,0.591,0.412,0.45,0.417,9,22,93.7,9.5,2068,87.6,87.88,0,40,19,0.30000000000001137,6.52,108,147,118,149,300,323,301,"0.545","-0.545","74.1","7.5",23,22,7,1,0,1,1,4.3,0,0,2.62712,0.38237,0.36119,-0.13102,"93.9",141,45.45454545454545,9.090909090909092,8.695652173913043,5.93,-2.89,-0.41,2.04,0.391,2,"-0.923728814",0.409,0.634,"0.923728814",-0.008,-0.01799999999999996,-0.043,-0.038,0,"40.0",13.326342413972988,-3.25913689427042,35.39828141563018,0.717948717948718,36.60260262838493,33.20166341784276
58,642547,"Peralta, Freddy",58,100,0.316,0.158,0.313,0.474,0.339,0.377,0.357,6,19,92.2,7.5,2296,89.6,90.16,7,42,16,0.6000000000000085,6.77,115,150,121,151,302,328,299,"0.301","-0.301","72.4","7.6",19,17,5,0,0,1,2,10.5,0,0,2.18121,0.70914,0.48316,-0.15719,"93.8",137,58.82352941176471,5.88235294117647,5.263157894736842,5.27,-3.51,-0.43,1.98,0.316,1,"-0.518965517",0.357,0.517,"0.518965517",-0.041,-0.04099999999999998,-0.043,-0.038,16.7,"37.6",11.764004296440374,-8.553267292425772,35.835738019898734,0.4634146341463415,34.6844374241036,33.99209172224141
58,645261,"Alcantara, Sandy",58,100,0.462,0.308,0.417,0.769,0.525,0.419,0.382,6,13,87.3,-7,2245,91,90.52,6,46,12,-0.5,6.04,112,147,119,149,302,322,293,"0.12","-0.12","73.5","7.5",13,13,4,1,0,1,0,0,0,0,2.38172,0.39862,0.89224,-0.11672,"92.9",133,46.15384615384615,7.6923076923076925,7.6923076923076925,5.97,-1.74,-0.42,2.01,0.462,1,"-0.206896552",0.382,0.591,"0.206896552",0.08,0.08000000000000002,0.178,0.106,13,"32.4",12.028538185628165,-3.8688355615878964,35.07376966828999,0.5217391304347826,37.74620794560181,32.78281451476083
57,592662,"Ray, Robbie",57,100,0.25,0.05,0.313,0.3,0.239,0.183,0.197,5,20,87.5,17.9,2289,89.3,89.08,7,41,16,-0.20000000000000284,6.13,106,149,123,148,295,325,293,"3.389","-3.389","73.6","7.7",20,16,4,1,0,0,4,20,0,0,1.95246,0.92281,0.34089,-0.16875,"91.8",103,37.5,0,0,6.16,2.65,-0.4,2.01,0.25,0,"-5.945614035",0.197,0.223,"5.945614035",0.053,0.05299999999999999,0.077,0.056,17.1,"46.1",12.140858937454967,-10.883093107243905,35.05156999328335,0.5641025641025641,34.46988471092402,34.63484542806114
56,656550,"Holmes, Grant",56,100,0.2,0.12,0.2,0.32,0.223,0.347,0.301,5,25,92.2,10.6,2687,87.4,87.04,3,38,18,-0.4000000000000057,6.01,114,148,122,150,299,323,299,"3.182","-3.182","71.9","7.5",25,21,4,0,0,1,4,16,0,0,2.96518,0.03804,-0.102,-0.00564,"93.6",171,52.38095238095239,4.761904761904762,4,5.87,-2.47,-0.41,2.02,0.2,1,"-5.682142857",0.301,0.515,"5.682142857",-0.101,-0.10099999999999998,-0.195,-0.124,7.9,"38.9",8.775023881047101,-1.8429027739778503,36.36792167512473,0.4857142857142857,36.95254963464717,31.545577886973124
