"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
458,664285,"Valdez, Framber",458,100,0.248,0.109,0.348,0.358,0.274,0.266,0.235,34,137,93.3,3,2358,87.5,86.48,98,285,173,-1,5.9,111,150,119,146,304,328,298,"5.466","-5.466","72.0","7.8",143,92,25,6,0,3,46,32.2,5,3.5,3.34013,-0.28096,0.40555,-0.28996,"93.1",95,54.347826086956516,9.782608695652174,6.293706293706294,5.95,0.78,-0.02,1.51,0.273,9,"-1.193449782",0.261,0.351,"1.193449782",0.013,0.01200000000000001,0.007,0.008,34.4,"41.1",12.823578497036353,-9.550269361859899,37.63142561359263,0.4892086330935252,36.263063418738504,34.73391752950621
436,592332,"Gausman, Kevin",436,100,0.187,0.138,0.269,0.325,0.24,0.246,0.202,23,123,87.5,7.7,1949,88.3,88.73,86,238,198,0.4000000000000057,6.71,111,149,115,148,293,324,295,"9.785","-9.785","72.4","8.1",131,73,16,2,0,5,51,38.9,6,4.6,2.21585,0.75332,1.07881,0.01583,"92.7",118,45.20547945205479,8.21917808219178,4.580152671755725,5.69,-2.53,-0.03,1.54,0.225,6,"-2.244266055",0.239,0.321,"2.244266055",-0.015,-0.013999999999999985,0.004,-0.006,36.1,"35.9",16.527903436616217,-16.045626188383064,36.71260352135971,0.46382978723404256,36.83475046783412,39.241372365354835
416,656427,"Flaherty, Jack",416,100,0.204,0.159,0.284,0.363,0.266,0.291,0.226,23,113,88.1,12,2357,84.4,84.79,66,226,190,0.3999999999999915,6.51,113,148,116,150,293,327,297,"6.749","-6.749","70.8","8.0",120,71,14,4,1,4,42,35,7,5.8,3.06688,0.17875,-0.37296,0.09983,"92.2",121,42.25352112676056,12.676056338028168,7.5,5.27,-2.63,0.03,1.5,0.25,9,"-1.622355769",0.271,0.403,"1.622355769",-0.022,-0.02100000000000002,-0.04,-0.025,29.2,"26.2",16.83630811165261,-17.6225266602926,35.93211378703923,0.53125,36.29965930002212,40.836805668979586
396,650911,"Sánchez, Cristopher",396,100,0.184,0.088,0.274,0.272,0.203,0.218,0.216,23,125,87.9,4.8,2082,89.2,90.17,110,260,136,1,7.04,107,149,116,147,299,320,287,"13.587","-13.587","73.1","8.0",127,84,12,11,0,0,41,32.3,2,1.6,2.84189,0.06082,1.22694,-0.82496,"92.1",90,33.33333333333333,0,0,5.9,2,-0.02,1.54,0.197,0,"-3.431060606",0.228,0.27,"3.431060606",-0.032,-0.031,0.002,-0.015,42.3,"29.3",16.139275758237435,-14.959222784783792,36.896270664863714,0.49411764705882355,37.04123841490102,38.94789729951334
391,667755,"Soriano, José",391,100,0.216,0.126,0.253,0.342,0.256,0.285,0.248,24,111,93.3,-4.9,2050,93.4,94.05,67,233,158,0.5999999999999943,6.66,107,147,117,149,306,327,302,"10.857","-10.857","72.0","7.6",118,84,18,2,0,4,29,24.6,5,4.2,2.67077,-0.02932,0.50785,-0.00586,"94.9",70,57.14285714285714,8.333333333333332,5.932203389830509,5.86,-1.2,0,1.53,0.248,7,"-2.776726343",0.282,0.369,"2.776726343",-0.032,-0.033999999999999975,-0.027,-0.029,28.8,"36.3",9.977787375364754,-3.42544795172875,38.045035258254764,0.5401785714285714,36.61423551638685,30.92780758800435
385,607074,"Rodón, Carlos",385,100,0.173,0.048,0.239,0.221,0.204,0.217,0.183,18,104,87.3,6.3,2345,89.1,88.61,62,206,179,-0.5,6.08,108,150,123,150,295,322,284,"13.357","-13.357","71.7","7.8",112,73,15,2,0,1,32,28.6,7,6.3,2.35849,0.54445,0.47805,-0.16898,"92.3",102,41.66666666666667,2.7777777777777777,1.7857142857142856,6.32,2.36,0.02,1.53,0.225,2,"-3.469350649",0.235,0.244,"3.469350649",-0.01,-0.009999999999999981,-0.023,-0.013,30.1,"44.1",13.659905495705766,-9.279995188162792,36.34415072358138,0.465,36.25385707559632,35.78016101077918
372,668678,"Gallen, Zac",372,100,0.202,0.156,0.253,0.358,0.26,0.27,0.217,22,109,88.7,4.1,2181,86.2,86.52,65,212,160,0.29999999999999716,6.54,113,149,120,149,300,324,300,"10.039","-10.039","72.8","8.0",118,78,11,8,0,3,33,28,7,5.9,3.01798,0.08941,0.17145,-0.13349,"92.5",96,42.857142857142854,9.090909090909092,5.932203389830509,5.92,-2.89,-0.03,1.51,0.246,7,"-2.698655914",0.262,0.358,"2.698655914",-0.015,-0.016000000000000014,0,-0.01,30.7,"41.1",15.560744494969134,-11.964655366960905,37.01485778826461,0.4928909952606635,37.233496987927005,38.00356320368704
363,645261,"Alcantara, Sandy",363,100,0.164,0.1,0.182,0.264,0.207,0.307,0.262,18,110,90.8,8.5,2287,91,90.48,45,199,164,-0.5,6.06,111,147,118,149,303,324,294,"13.921","-13.921","71.8","7.7",120,90,11,5,0,2,23,19.2,7,5.8,2.42014,0.36458,0.80978,-0.12365,"92.4",122,42.22222222222222,5.555555555555555,4.166666666666666,5.95,-1.71,0,1.55,0.208,5,"-3.834986226",0.307,0.394,"3.834986226",-0.098,-0.099,-0.13,-0.1,22.6,"32.0",12.28155302428418,-10.32277647312874,38.204953698380166,0.5364583333333334,35.90617999502739,35.93267307560992
354,518876,"Kelly, Merrill",354,100,0.258,0.125,0.304,0.383,0.282,0.303,0.281,31,120,91,6.8,2296,88.2,87.74,54,228,126,-0.5,6.04,114,149,116,150,299,323,301,"5.96","-5.96","72.8","7.9",122,95,23,4,1,3,25,20.5,2,1.6,2.78138,0.16925,0.77782,-0.07,"92.8",99,47.87234042553192,5.319148936170213,4.098360655737705,5.49,-1.87,-0.03,1.54,0.27,5,"-1.683615819",0.293,0.409,"1.683615819",-0.023,-0.022999999999999965,-0.026,-0.021,23.7,"24.8",14.022530682175388,-9.778141861416696,37.845084454919984,0.5681818181818182,36.24813465777731,35.72487707161182
348,657277,"Webb, Logan",348,100,0.197,0.083,0.245,0.28,0.205,0.247,0.234,26,132,89.6,-3.1,1841,87.1,88,55,245,103,0.9000000000000057,6.79,111,148,119,148,294,324,298,"13.202","-13.202","73.2","7.7",133,103,17,8,0,1,29,21.8,0,0,3.28928,-0.28573,0.31385,0.06103,"92.6",80,40.77669902912621,5.825242718446602,4.511278195488721,4.91,-2,0.01,1.54,0.197,6,"-3.793678161",0.234,0.34,"3.793678161",-0.037,-0.037000000000000005,-0.06,-0.042,22.4,"20.3",11.918277801037759,-6.860373418788154,37.78671306099826,0.5518672199170125,36.556730551561024,33.95126515280926
