"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
271,676979,"Crochet, Garrett",271,100,0.228,0.208,0.202,0.436,0.278,0.339,0.279,23,101,92.6,14.6,2477,93,93.74,22,210,61,0.7000000000000028,6.72,107,150,115,147,293,321,288,"10.599","-10.599","72.1","7.2",102,90,14,3,0,6,12,11.8,0,0,1.85731,0.79993,0.25188,-0.11867,"92.3",171,46.666666666666664,10,8.823529411764707,6.14,2.45,0,2.52,0.225,9,"-3.911070111",0.281,0.504,"3.911070111",-0.051,-0.05600000000000002,-0.068,-0.061,10.5,"35.2",7.231447887908559,1.5310912273219994,32.21413501099569,0.47058823529411764,37.03286083463111,27.86190020437935
267,663623,"Irvin, Jake",267,100,0.339,0.397,0.288,0.736,0.446,0.431,0.326,41,121,92.7,13.8,2350,87.5,88.72,12,198,69,1.2000000000000028,7.05,112,149,119,150,303,326,301,"-8.977","8.977","72.9","7.1",122,115,16,13,1,11,7,5.7,0,0,2.52075,0.50903,0.48386,0.16079,"94.1",183,51.30434782608696,18.26086956521739,17.21311475409836,5.66,-2.28,-0.01,2.51,0.336,21,"3.362172285",0.323,0.71,"-3.362172285",0.013,0.013000000000000012,0.026,0.015,6.1,"26.5",9.32409658836402,0.4129044959347814,32.70551105577633,0.5435897435897435,35.8348106244124,30.7121004486769
265,656605,"Keller, Mitch",265,100,0.355,0.243,0.333,0.598,0.402,0.399,0.344,38,107,94.9,14.5,2482,89.2,89.63,19,201,64,0.3999999999999915,6.58,110,148,112,148,294,312,295,"-1.169","1.169","71.5","6.9",108,100,26,5,0,7,8,7.4,0,0,2.36287,0.5492,0.16823,-0.10264,"93.5",180,63,10,9.25925925925926,5.82,-1.84,0,2.49,0.352,10,"0.441132075",0.341,0.602,"-0.441132075",0.011,0.010999999999999954,-0.004,0.003,9.5,"37.7",5.487271462012086,5.862117307715192,31.998613471473494,0.46113989637305697,35.79719036426263,27.14247090650679
256,579328,"Kikuchi, Yusei",256,100,0.314,0.235,0.289,0.549,0.359,0.405,0.34,32,102,93.5,16.8,2247,89.1,89.81,22,192,64,0.7000000000000028,6.76,107,150,114,147,306,326,299,"2.018","-2.018","72.2","7.1",104,96,20,6,0,6,8,7.7,0,0,2.28375,0.62621,0.21344,-0.17344,"93.6",183,53.125,12.5,11.538461538461538,5.37,2.43,0.01,2.51,0.308,12,"-0.78828125",0.338,0.611,"0.78828125",-0.026,-0.030000000000000027,-0.062,-0.046,11.5,"36.0",4.9863626977951885,4.962815681477727,32.664666207423615,0.42021276595744683,35.943621555603436,27.80232867185441
247,694297,"Pfaadt, Brandon",247,100,0.308,0.224,0.29,0.533,0.358,0.452,0.365,33,107,95.7,17,2538,90.1,90.62,17,188,59,0.5,6.61,113,149,118,150,299,320,298,"1.428","-1.428","72.9","7.1",107,99,21,6,0,6,8,7.5,0,0,2.2117,0.61769,0.42413,-0.10769,"94.5",181,61.61616161616161,17.17171717171717,15.887850467289718,5.55,-2.2,0.01,2.46,0.308,17,"-0.578137652",0.365,0.708,"0.578137652",-0.057,-0.056999999999999995,-0.175,-0.094,9,"27.3",8.201162884679805,0.24679831328813454,33.10409584054991,0.5,36.34872095909078,30.431691809266965
245,669358,"Baz, Shane",245,100,0.241,0.241,0.211,0.481,0.3,0.33,0.278,19,79,94,12.7,2478,91.4,91.47,19,176,69,0.09999999999999432,6.37,109,148,115,148,302,323,295,"8.004","-8.004","72.4","7.1",80,75,8,7,0,4,5,6.3,0,0,2.32616,0.43535,0.26771,-0.14192,"92.5",157,50.66666666666667,13.333333333333334,12.5,5.79,-1.45,0,2.53,0.237,10,"-3.266938776",0.275,0.507,"3.266938776",-0.037,-0.038000000000000034,-0.026,-0.03,10.8,"36.9",6.528532377730297,3.0692732347302543,31.882543342519245,0.4883720930232558,36.074021439089954,28.11548688965045
242,608331,"Fried, Max",242,100,0.333,0.141,0.36,0.475,0.347,0.328,0.311,33,99,92.5,13.3,2351,89.6,89.92,23,182,60,0.30000000000001137,6.47,109,150,121,151,293,320,284,"3.543","-3.543","72.4","7.0",100,89,25,4,2,2,11,11,0,0,2.58136,0.32236,-0.042,-0.01292,"92.9",161,48.31460674157304,8.98876404494382,8,5.99,1.57,-0.01,2.52,0.333,8,"-1.464049587",0.311,0.457,"1.464049587",0.022,0.02200000000000002,0.018,0.019,12.6,"45.9",5.832238542789251,4.520680868314075,32.293548105525424,0.42134831460674155,36.4150133823948,27.99214259377785
242,666200,"Luzardo, Jesús",242,100,0.348,0.213,0.342,0.562,0.388,0.376,0.324,31,89,93.8,15.2,2218,91.9,90.85,21,175,67,-1.1000000000000085,5.8,107,149,116,147,299,321,287,"1.451","-1.451","71.7","7.0",89,83,20,7,0,4,6,6.7,0,0,2.07446,0.67233,0.54229,-0.24004,"93.1",174,53.01204819277109,8.433734939759036,7.865168539325842,5.84,2.36,0.01,2.51,0.348,7,"-0.599586777",0.324,0.56,"0.599586777",0.024,0.023999999999999966,0.002,0.012,12,"33.0",5.8448440652409275,4.709816407066337,32.396354549191585,0.4431137724550898,36.370572907502876,26.523017442859985
241,657746,"Ryan, Joe",241,100,0.27,0.213,0.253,0.483,0.319,0.379,0.301,24,89,94.3,22.2,2342,90.9,91.37,33,200,41,0.5,6.73,114,148,116,150,300,328,295,"6.782","-6.782","72.9","7.1",89,80,15,4,0,5,9,10.1,0,0,1.99855,0.81414,0.67249,-0.04344,"92.6",187,51.24999999999999,13.750000000000002,12.359550561797752,4.79,-2.49,0,2.52,0.27,11,"-2.814107884",0.301,0.596,"2.814107884",-0.031,-0.030999999999999972,-0.113,-0.06,16.5,"25.3",6.83955060254372,2.1296192082236125,31.959455860463635,0.4494949494949495,36.08041606274797,28.245907561511654
239,676440,"Bibee, Tanner",239,100,0.407,0.352,0.382,0.758,0.487,0.409,0.328,37,91,95.2,16.6,2380,88.3,88.81,18,177,62,0.5,6.63,112,148,121,149,296,320,299,"-6.89","6.89","71.6","7.2",92,84,23,4,2,8,8,8.7,0,0,2.32197,0.64559,0.1041,0.05088,"93.2",165,60.71428571428571,16.666666666666664,15.217391304347828,6.3,-2.21,0,2.54,0.402,14,"2.882845188",0.325,0.653,"-2.882845188",0.079,0.07700000000000001,0.105,0.078,10.2,"54.7",9.624046681178735,-2.0569082136277204,31.805153740412496,0.45664739884393063,36.67430334832861,30.581549987530487
