"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
106,641487,"Crawford, J.P.",106,100,0.125,0,1,0.125,0.359,0.341,0.071,1,8,103.5,16,2347,91.1,91.24,11,22,84,0.10000000000000853,6.34,114,146,110,151,285,320,298,"-2.926","2.926","63.3","6.3",14,1,1,0,0,0,7,50,6,42.9,1.84811,0.94811,0.37379,-0.23126,"89.7",226,100,0,0,5.76,-1.3,-0.84,3.34,0.5,0,"2.760377358",0.469,0.115,"-2.760377358",0.054,0.031000000000000028,0.01,0.018,50,"37.8",-4.51974021328337,20.428028773810453,28.06487738548476,0.13636363636363635,44.60376909952182,25.552232396041674
101,621566,"Olson, Matt",101,100,0,0,,0,0.407,0.407,,0,7,,,2315,92.7,92.86,7,18,83,0.20000000000000284,6.4,119,147,132,153,300,328,304,"-3.662","3.662","68.4","6.7",17,0,0,0,0,0,7,41.2,10,58.8,1.5696,1.114,0.55356,-0.47475,"89.5",269,,,,5.84,-1.39,-0.77,3.67,0.588,,"3.625742574",0.588,,"-3.625742574",,0,,0,38.9,"38.4",2.125899936410053,23.58715196381225,22.747108067581465,0.2777777777777778,47.35535547374323,18.925656271606563
98,668804,"Reynolds, Bryan",98,100,0.111,0,0.333,0.111,0.206,0.257,0.174,1,9,84,27.3,2263,90.7,91.01,12,30,68,0.29999999999999716,6.44,113,146,120,150,297,322,297,"0.379","-0.379","63.8","5.7",11,3,1,0,0,0,6,54.5,2,18.2,2.0998,0.69888,0.37898,-0.37898,"88.6",202,0,0,0,5.76,-1.34,-0.79,3.28,0.273,0,"-0.386734694",0.324,0.189,"0.386734694",-0.063,-0.05099999999999999,-0.078,-0.051,40,"38.2",4.536552911796786,19.89475723994615,32.61578567771558,0.36666666666666664,40.22246405669955,18.298701643813096
95,656941,"Schwarber, Kyle",95,100,0.133,0.2,0.143,0.333,0.319,0.328,0.129,2,15,93.7,37.1,2277,90.3,90.22,9,27,68,-0.09999999999999432,6.3,115,146,129,151,299,328,296,"-2.093","2.093","73.5","7.0",20,8,1,0,0,1,7,35,5,25,2.09811,0.77221,0.36621,-0.23968,"92.3",228,50,25,10,5.96,-0.97,-0.81,3.37,0.35,2,"2.203157895",0.346,0.381,"-2.203157895",0.004,0.0040000000000000036,-0.048,-0.009,33.3,"39.6",13.615064364414835,13.261729749372591,25.901182214174433,0.8888888888888888,41.565447354448374,22.492633092588903
94,680757,"Kwan, Steven",94,100,0.25,0,0.333,0.25,0.378,0.418,0.294,3,12,80.2,19.1,2337,92.2,92.48,5,30,64,0.29999999999999716,6.43,114,147,104,150,280,313,298,"-1.706","1.706","57.3","5.4",18,9,3,0,0,0,3,16.7,6,33.3,1.71391,0.98085,0.53429,-0.28088,"88.4",206,0,0,0,5.8,-1.39,-0.79,3.23,0.5,0,"1.814893617",0.529,0.352,"-1.814893617",-0.044,-0.029000000000000026,-0.102,-0.04,16.7,"37.3",-5.3457037690649924,19.048156128300235,28.262181180292515,0.07407407407407407,39.42762564239957,18.31052274785637
91,646240,"Devers, Rafael",91,100,0.167,0,0.5,0.167,0.44,0.441,0.15,1,6,95.2,28,2272,91.6,91.8,8,13,78,0.20000000000000284,6.39,117,147,130,152,291,325,308,"-4.527","4.527","68.3","7.1",13,2,1,0,0,0,4,30.8,7,53.8,1.74725,1.02099,0.58022,-0.41516,"91.5",227,50,0,0,5.78,-1.32,-0.82,3.6,0.615,0,"4.974725275",0.608,0.192,"-4.974725275",0.017,0.007000000000000006,-0.025,-0.001,61.5,"36.1",9.545179682625129,21.917007342397167,21.813095636554433,0.5384615384615384,42.21779761364086,18.79915340166588
91,672695,"Perdomo, Geraldo",91,100,0.222,0,0.286,0.222,0.394,0.411,0.237,2,9,58.8,-1.4,2297,93.1,93.44,2,16,75,0.30000000000001137,6.48,113,147,110,149,292,323,298,"-4.419","4.419","56.0","5.6",15,7,2,0,0,0,2,13.3,6,40,1.7011,0.96467,0.45169,-0.45169,"88.4",131,0,0,0,5.85,-1.17,-0.78,3.55,0.533,0,"4.856043956",0.542,0.266,"-4.856043956",-0.015,-0.009000000000000008,-0.044,-0.017,12.5,"39.8",-0.36326355287619394,12.616958516944631,30.87527357997208,0.26666666666666666,33.38535028290136,16.019633782644
88,656716,"McKinstry, Zach",88,100,0,0,0,0,0.314,0.365,0.067,0,6,89.6,13.7,2245,91.2,91.5,6,19,69,0.29999999999999716,6.43,112,145,109,151,292,325,299,"-1.194","1.194","61.4","6.0",11,3,0,0,0,0,3,27.3,5,45.5,1.88795,0.88034,0.50591,-0.51955,"89.2",214,33.33333333333333,0,0,5.72,-1.64,-0.8,3.39,0.455,0,"1.356818182",0.491,0.16,"-1.356818182",-0.067,-0.035999999999999976,-0.16,-0.051,31.6,"38.7",0.8111701104492868,18.819587942356495,24.705609028625027,0.2777777777777778,42.7227175892596,14.610681748824414
87,624428,"Frazier, Adam",87,100,0.2,0.1,0.333,0.3,0.293,0.175,0.071,2,10,84.2,-9.7,2330,92.6,92.8,5,35,52,0.20000000000000284,6.43,117,146,110,152,288,319,298,"0.273","-0.273","60.3","6.0",12,6,1,1,0,0,4,33.3,2,16.7,1.7469,0.93667,0.55523,-0.45198,"88.5",159,0,0,0,5.74,-1.43,-0.8,3.29,0.333,0,"-0.313793103",0.226,0.096,"0.313793103",0.129,0.10700000000000001,0.204,0.118,14.3,"35.9",0.06697823825688384,23.951537842339683,29.09993366709853,0.2857142857142857,39.80568590229064,12.007946999104718
86,596019,"Lindor, Francisco",86,100,0.143,0,0.5,0.143,0.275,0.231,0.071,2,14,66.4,44.5,2347,92.6,92.76,11,23,63,0.20000000000000284,6.4,118,147,116,152,297,326,300,"-0.781","0.781","60.2","6.0",19,4,2,0,0,0,10,52.6,5,26.3,1.68058,1.00244,0.52302,-0.52302,"88.8",160,0,0,0,5.78,-1.45,-0.79,3.47,0.368,0,"0.908139535",0.315,0.077,"-0.908139535",0.072,0.05299999999999999,0.066,0.044,47.8,"37.2",1.7881653922637875,25.39472091916508,24.40561787199543,0.391304347826087,38.80953242586441,13.478083008717027
