"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
293,621493,"Ward, Taylor",293,100,0.245,0.264,0.281,0.509,0.326,0.22,0.179,13,53,83.5,21.1,2629,82.7,82.51,26,94,199,-0.20000000000000284,6.33,107,150,122,146,307,325,294,"-2.433","2.433","66.7","7.4",58,36,7,2,0,4,19,32.8,3,5.2,3.27157,0.09789,-1.19044,-0.87993,"90.5",167,25,5.555555555555555,3.4482758620689653,5.5,-1.58,0.49,2.1,0.276,2,"0.830375427",0.216,0.292,"-0.830375427",0.066,0.060000000000000026,0.217,0.106,27.7,"31.7",13.286457037876877,-9.787118873660537,32.0508941731817,0.5934065934065934,39.54814306168677,38.606305487984955
279,624413,"Alonso, Pete",279,100,0.232,0.161,0.306,0.393,0.288,0.349,0.278,13,56,94.3,8.8,2571,83.2,82.95,26,114,165,-0.20000000000000284,6.37,107,150,123,146,303,327,297,"0.169","-0.169","72.3","7.4",59,38,8,3,0,2,18,30.5,2,3.4,3.25376,0.08592,-1.09262,-0.57821,"93.0",146,60.526315789473685,10.526315789473683,6.779661016949152,5.56,-0.85,0.46,1.95,0.271,4,"-0.060573477",0.315,0.499,"0.060573477",-0.046,-0.043999999999999984,-0.106,-0.061,22.8,"33.2",12.874643364644179,-6.6504476188533905,34.17565724026898,0.5887850467289719,38.32134548838841,33.619421586493765
264,677594,"Rodríguez, Julio",264,100,0.262,0.215,0.259,0.477,0.329,0.366,0.285,17,65,89.4,19.6,2625,82.9,82.69,46,143,121,-0.20000000000000284,6.35,108,152,123,147,304,325,295,"-1.835","1.835","74.4","8.1",68,57,9,5,0,3,8,11.8,3,4.4,3.25402,0.10394,-1.16939,-0.82591,"92.5",149,36.84210526315789,8.771929824561402,7.352941176470589,5.59,-1.35,0.54,2.02,0.294,5,"0.695075758",0.316,0.544,"-0.695075758",-0.023,-0.02200000000000002,-0.067,-0.037,32.2,"32.7",12.759321419734555,-13.672019528839149,31.02359137166546,0.572463768115942,43.071402585999536,40.525485661857196
263,650402,"Torres, Gleyber",263,100,0.234,0.021,0.344,0.255,0.238,0.238,0.207,11,47,82,15,2574,82.6,82.64,20,91,172,0,6.42,109,150,122,146,305,325,290,"1.187","-1.187","64.8","7.4",51,32,10,1,0,0,16,31.4,3,5.9,3.28882,0.08314,-1.14878,-0.86004,"89.3",164,18.75,9.375,5.88235294117647,5.47,-1.59,0.63,1.95,0.275,3,"-0.451330798",0.251,0.286,"0.451330798",0.027,0.02400000000000002,-0.031,0,22,"32.5",11.121316812334848,-2.096643599979248,34.96573021281705,0.5227272727272727,39.54548046057825,34.56425396924693
259,679529,"Torkelson, Spencer",259,100,0.091,0.091,0.136,0.182,0.163,0.191,0.123,4,44,83,36.2,2566,82.4,82.47,42,112,147,0.09999999999999432,6.45,108,151,124,145,301,326,297,"5.443","-5.443","69.5","8.1",48,23,2,1,0,1,21,43.8,4,8.3,3.31834,0.0676,-1.1817,-0.80703,"90.3",166,13.043478260869565,8.695652173913043,4.166666666666666,5.43,-1.48,0.63,2.02,0.167,2,"-2.101544402",0.196,0.219,"2.101544402",-0.032,-0.028999999999999998,-0.037,-0.028,37.5,"30.7",18.36380750287405,-17.295718041220375,37.77895954516197,0.4732142857142857,40.845797442122795,37.43254227602703
254,521692,"Perez, Salvador",254,100,0.263,0.175,0.351,0.439,0.313,0.336,0.279,15,57,86.8,17.8,2611,82.9,83.02,51,140,114,0.09999999999999432,6.47,108,151,123,145,305,327,300,"-0.854","0.854","69.0","8.3",59,39,9,4,0,2,18,30.5,1,1.7,3.29126,0.04782,-1.1372,-1.00224,"91.0",159,33.33333333333333,15.384615384615385,10.16949152542373,5.66,-1.78,0.86,1.87,0.288,6,"0.336220472",0.304,0.476,"-0.336220472",-0.016,-0.016000000000000014,-0.037,-0.023,36.4,"34.2",18.106550649933002,-15.297311233244562,34.23804687611957,0.5035971223021583,43.903932348307954,38.60270489561964
249,592450,"Judge, Aaron",249,100,0.341,0.488,0.333,0.829,0.512,0.422,0.272,14,41,88.9,23.8,2615,83.4,83.26,37,95,154,-0.10000000000000853,6.43,107,152,125,146,307,332,297,"-10.206","10.206","72.5","8.4",50,30,6,2,0,6,12,24,7,14,3.21956,0.09724,-1.18936,-0.95723,"92.2",173,37.93103448275862,17.24137931034483,10,5.53,-1.62,0.58,2.06,0.44,5,"4.098795181",0.386,0.627,"-4.098795181",0.069,0.05399999999999999,0.202,0.09,38.9,"32.8",18.95183721458367,-12.566887298475827,38.172477342490055,0.3723404255319149,44.4441748730935,36.069567636335904
245,668227,"Arozarena, Randy",245,100,0.207,0.259,0.216,0.466,0.309,0.329,0.242,12,58,90.4,9.7,2611,82.9,82.79,34,109,136,-0.10000000000000853,6.34,110,152,123,148,299,324,293,"-3.576","3.576","66.4","7.5",62,41,5,3,0,4,17,27.4,2,3.2,3.25604,0.09066,-1.18747,-0.7469,"92.9",157,48.78048780487805,14.634146341463413,9.67741935483871,5.53,-1.36,0.62,1.9,0.258,6,"1.459591837",0.291,0.473,"-1.459591837",-0.035,-0.032999999999999974,-0.007,-0.02,31.2,"31.8",10.808423223569788,-5.404546247671338,25.271754015156137,0.6153846153846154,38.60217774592907,34.85011319772405
243,673548,"Suzuki, Seiya",243,100,0.212,0.25,0.241,0.462,0.308,0.305,0.206,11,52,88.3,21.9,2586,83,83.06,29,84,159,0.09999999999999432,6.44,107,150,122,146,302,323,294,"-0.943","0.943","69.5","7.8",59,33,6,1,0,4,21,35.6,5,8.5,3.21346,0.12649,-1.09337,-0.79049,"91.9",166,39.39393939393939,21.21212121212121,11.864406779661017,5.62,-1.51,0.5,1.89,0.271,7,"0.388065844",0.269,0.445,"-0.388065844",0.006,0.0020000000000000018,0.017,0.003,34.5,"31.8",15.460493139526687,-14.507093306648828,31.06972672942824,0.5662650602409639,41.315671051615155,43.28335216295273
236,691406,"Caminero, Junior",236,100,0.279,0.18,0.286,0.459,0.328,0.359,0.31,17,61,85.8,15.1,2593,82.6,82.58,30,126,110,0,6.33,107,150,123,146,303,324,289,"-1.972","1.972","75.1","8.6",65,52,12,2,0,3,10,15.4,2,3.1,3.25559,0.10874,-1.10619,-0.70322,"91.6",166,30.76923076923077,7.6923076923076925,6.153846153846154,5.5,-0.98,0.55,2.02,0.308,4,"0.83559322",0.343,0.484,"-0.83559322",-0.031,-0.03500000000000003,-0.025,-0.031,23.8,"31.6",12.227793927419771,-16.0583973286878,25.566707164935654,0.7520661157024794,40.9221233509815,44.44861327453471
236,695578,"Wood, James",236,100,0.184,0.041,0.346,0.224,0.216,0.204,0.166,9,49,87.1,12.9,2577,82,81.8,36,94,142,-0.20000000000000284,6.22,116,148,127,151,301,326,304,"1.75","-1.75","71.0","7.9",53,26,7,2,0,0,23,43.4,4,7.5,3.31915,0.09489,-1.09831,0.00051,"91.2",137,34.61538461538461,3.8461538461538463,1.8867924528301887,5.59,0.26,-0.39,2.19,0.245,1,"-0.741525424",0.229,0.211,"0.741525424",0.018,0.015999999999999986,0.013,0.012,38.3,"31.0",13.853614967260084,-2.4386639290237397,40.63822925348938,0.391304347826087,40.36284588438531,36.328649351496615
