zone,woba_against,freq
1,0.313,0.077
2,0.313,0.077
3,0.313,0.077
4,0.313,0.077
5,0.313,0.077
6,0.313,0.077
7,0.313,0.077
8,0.313,0.077
9,0.313,0.077
10,0.313,0.077
11,0.313,0.077
12,0.313,0.077
13,0.313,0.076
