Name,Team,PA,FF,wFT/C,FC,FS,wFO/C,SI,SL,CU,wKC/C,wEP/C,CH,wSC/C,wKN/C,NameASCII,PlayerId,MLBAMID
"Ryan O'Hearn","- - -",544,0.558396162810149,,-0.6105496778207666,4.010173313471736,,1.5057213630410438,0.5061379850727238,0.3375486296447203,3.2488854919991845,0.11756010353565216,-0.5119560315058782,,,"Ryan O'Hearn",16442,656811
"Matt Chapman","SFG",535,0.8101713948133514,,-1.687232322163052,1.4015573522318965,7.758663892745972,0.15068334110533993,0.922286651822418,1.7151610056559246,-0.9596549651839515,-5.379778519272804,-2.160481810569763,,,"Matt Chapman",16505,656305
"Ozzie Albies","ATL",667,0.19832776854242976,,1.7784317334493,-0.4857156703721231,-8.208699524402618,-0.4986019414148213,0.5134256727971379,-1.5709494600201597,-1.1508025621113023,,-1.9855957489471894,,,"Ozzie Albies",16556,645277
"Yandy Díaz","TBR",651,2.363123562400795,,-2.371696645563299,2.492173353830973,,0.6672167975055284,0.7238256055756477,0.8583340742816664,-1.0524164140224457,3.5335650046666465,3.1055684041495275,,,"Yandy Diaz",16578,650490
"Gleyber Torres","DET",628,0.6542135721229645,,1.9972122192382813,4.28750570430312,,-0.07825646325751322,-0.6363449096679688,-0.9099574065675922,2.4392537772655487,,1.4548847267219613,,,"Gleyber Torres",16997,650402
"Rafael Devers","- - -",729,0.7426843907486208,,1.6034268925332618,3.200171761593576,-4.546084544724889,-1.0495742185011196,1.6156114604738023,6.622251432541518,-6.88135729116552,14.416029262873861,-1.8253234353395973,,,"Rafael Devers",17350,646240
"Taylor Ward","LAA",663,0.7826099467818022,,-2.4814829064124577,1.1128491734805173,3.8997385650873184,-0.0739986381747506,0.8058096470207925,1.1828342505863736,0.9796412327350715,46.637773513793945,0.12746172550633467,,,"Taylor Ward",17548,621493
"Ian Happ","CHC",663,-0.33287622153256247,,0.03935110289603472,4.8230369040306575,,3.5883372480219062,-1.5746261813853044,2.2845254880245602,7.940737406412761,-4.217307269573212,-0.565735721365833,46.637773513793945,,"Ian Happ",17919,664023
"Jake Cronenworth","SDP",515,1.3730405667506227,,-0.7565599420796271,1.1541918302193666,,0.36372146228464636,0.5865719429282255,-0.03376381737845285,-0.36268022499586405,-0.2790664633115133,-1.8936851547985543,,,"Jake Cronenworth",18036,630105
"Dansby Swanson","CHC",645,-1.3072458902994792,,3.516083711769149,-0.30139546703409265,,0.0957020731533275,-0.14433376348702012,-0.5475054906067235,10.547208786010742,-5.0872766971588135,-0.5084761274539359,,,"Dansby Swanson",18314,621020
"Kyle Tucker","CHC",597,1.1300697326660156,,-0.9307121482130658,1.0777422040700912,,1.644584133818343,-0.016966900216663344,2.264720598856608,1.016693529875382,,2.216226678145559,,,"Kyle Tucker",18345,663656
"Trent Grisham","NYY",581,1.494539547436343,,5.104878390276873,2.1550709346555315,,-0.37243944225889264,-0.576898580839654,1.3121610369001118,-1.3769106354032243,,1.043330421743467,,,"Trent Grisham",18564,663757
"Luis Arraez","SDP",675,0.5555623000667942,,-0.986351836018446,-1.6812508756464177,,-2.8491309005970007,-0.6882613758708156,4.408933742936835,2.450671046972275,-16.81063324213028,1.9614475795200894,,,"Luis Arraez",18568,650333
"Ke'Bryan Hayes","- - -",570,-1.1818916193451252,,-0.5208578569437164,1.1311548929183912,-23.855803906917572,-2.9023264979456993,-0.7812930798445124,0.48330753080306516,-1.2125849723815918,-26.249641180038452,1.053378147672313,,,"Ke'Bryan Hayes",18577,663647
"Josh Naylor","- - -",604,1.486227535507054,,2.1436419306682937,0.20711833668738297,-3.1849960486094155,0.1487210962423094,-0.021530452527497943,2.3782368811815147,-8.108967313399681,,1.082085742641557,,,"Josh Naylor",18839,647304
"Brandon Lowe","TBR",553,1.5545549527020521,,0.36822898047310965,-0.5897563822725986,,1.0517896566175877,-2.159559726715088,0.3229491813208467,0.07842220869418737,-8.47879449526469,2.644257252827448,,,"Brandon Lowe",18882,664040
"Lourdes Gurriel Jr.","ARI",546,0.13555797711342968,,-5.121708617490881,-3.6965493232973166,-5.621311068534851,0.47751936996192257,1.074527521602443,-0.6315234104792277,6.185775995254517,-30.201393365859985,-1.169006952217647,,,"Lourdes Gurriel Jr.",19238,666971
"Pete Alonso","NYM",709,0.7416824975801446,,2.8906708810387585,-1.0807454586029053,,1.4322353481833912,0.33669666300835616,-1.2269886661337934,2.6406745477156206,5.061047772566477,1.0240160851251512,,,"Pete Alonso",19251,624413
"Adolis García","TEX",547,-0.14353435147892343,,-3.4473727520247155,-2.544420643856651,,-0.041252867348732486,-0.6405300097141218,-0.021410585139636642,-6.113228431114784,61.85978651046753,-1.546657222440873,,,"Adolis Garcia",19287,666969
"Randy Arozarena","SEA",709,0.4015166030917215,,-0.038297949111567135,-1.0384845890496908,,0.5902210574283778,-0.15299631431039457,3.4327172929314287,1.6766032824913661,,-0.5096962957671194,,,"Randy Arozarena",19290,668227
"Bryan Reynolds","PIT",654,-0.354791031734837,,2.4406214229396133,-1.3526898005913044,-7.235963003976005,0.9348620874596261,-0.35800049921314797,-2.07855895214283,1.8004684014753862,,-0.2359582651719201,,,"Bryan Reynolds",19326,668804
"Zach McKinstry","DET",511,0.3018865392014787,,-0.371397878184463,-0.7553663598485739,,0.41291749299462166,0.4663310843527479,-1.0190194779699977,-1.8992885947227478,25.693929195404053,2.19205076044256,,,"Zach McKinstry",19392,656716
"TJ Friedl","CIN",685,0.23054751482876865,,0.6064963948195148,-0.941622257232666,,0.29259709254750665,1.4847318242105205,1.2443822224934895,-0.5439411931567723,-5.155238509178162,-0.5007435601071057,,,"TJ Friedl",19522,670770
"Nathaniel Lowe","- - -",609,0.11429609036913105,,-0.293108532289127,-0.028422630968548,-0.40383879095315933,-1.8995173275470734,-0.18994643407709458,-0.11426931933352823,7.495922247568767,-1.1117765307426453,-0.056568873160093736,,,"Nathaniel Lowe",19566,663993
"Otto Lopez","MIA",594,0.1887746090248201,,-2.7579793031664863,-0.30112175004822866,-0.43094996362924576,-0.35834144620062075,0.48695156425783487,-0.29923941967261103,3.1966230448554547,18.694772322972618,-3.3372696840538167,,,"Otto Lopez",19608,672640
"Vladimir Guerrero Jr.","TOR",680,1.3108832839591507,,-0.2294824999782879,0.5335417233015362,,2.1952322687968673,0.10304564419511833,0.7666894883820505,8.464533441206989,-4.605216532945633,-0.020207658720513187,,,"Vladimir Guerrero Jr.",19611,665489
"Bo Bichette","TOR",628,-0.4279862136102151,,-1.0190401833488028,4.37927551758595,,1.3366691401747406,1.7041645235228307,3.38527570336552,-1.2661190593943876,9.653443098068237,2.664529916011926,,,"Bo Bichette",19612,666182
"Brent Rooker","ATH",699,1.0950959391064115,,3.5287926648114176,3.4776184293958874,-6.423913439114888,-1.3632404704053862,0.7276892246684962,0.4642571868567631,-1.7620821793874104,-8.47879449526469,0.7419777248794609,,,"Brent Rooker",19627,667670
"Fernando Tatis Jr.","SDP",691,1.1716234116327195,,0.8731377465384348,-0.3412904048507864,,2.6778697041631903,1.2846021699985002,1.047791894628198,-2.442581786049737,,-1.6011399793789873,,,"Fernando Tatis Jr.",19709,665487
"Shohei Ohtani","LAD",727,1.1868126854802397,,2.9246379512016762,3.0337552411840596,-4.606658965349197,1.8291118476964252,2.164064923989915,2.209309970631319,4.853825837793484,,2.2768358282140784,,,"Shohei Ohtani",19755,660271
"Luis Rengifo","LAA",541,-0.5147783951918767,,-1.9570803441921203,0.08145251444407872,50.67869424819946,0.7519184172838583,-1.8416748311172733,-0.11989307505163278,-2.184723552904631,-10.717343538999557,-0.011489061105191408,,,"Luis Rengifo",19858,650859
"Gavin Sheets","SDP",545,-0.03646798851793323,,-0.4339267686009407,1.8593338738500542,,-1.5717316663801464,-0.07968017549225778,0.9598503151093143,1.9627722104390461,,0.5799258408481127,,,"Gavin Sheets",19901,657757
"Gavin Lux","CIN",503,1.4735360660463432,,-1.3793282483884801,1.1971905401774814,,0.7115670964737568,-1.0880273448747264,-0.3161776969783114,-3.393316517273585,4.161593317985535,0.9546419805731655,,,"Gavin Lux",19955,666158
"Juan Soto","NYM",715,1.5068660741096727,,3.8790353139241533,2.7773968047565885,,0.014426355552187598,0.9248120752395008,1.9781624398580413,0.29565956610352245,15.545924504597982,2.416723318267287,,,"Juan Soto",20123,665742
"Miguel Vargas","CHW",569,-0.26496728261311847,,0.22944897717359114,1.5075123310089111,,-0.5968577647335315,0.5359644249842163,-2.712764703866207,6.7529935585825065,-11.767609417438507,-0.8507913067227318,,,"Miguel Vargas",20178,678246
"Jo Adell","LAA",573,0.269573759149622,,0.6431055068969727,1.7114310264587402,-7.331446558237076,-0.9059855779012045,0.9697356903026225,0.9299782151026084,-2.377261755601415,,0.34052757422129315,,,"Jo Adell",20220,666176
"Luis García Jr.","WSN",526,-0.14293293579150054,,1.7687138389138615,-3.535734032684902,-3.391270765236446,-0.5448047349702066,-0.7581422466258104,-0.9656436006787796,6.790853709709353,3.4021273255348206,1.4264138321898299,,,"Luis Garcia Jr.",20391,671277
"Jazz Chisholm Jr.","NYY",531,0.7275537576818705,,1.9680301979105308,0.6744026649193686,,-0.1414481716876997,-0.8099773721513486,1.4617115678921553,13.886945478377804,7.090924978256226,1.7485908695034211,,,"Jazz Chisholm Jr.",20454,665862
"William Contreras","MIL",659,0.09679505430116243,,0.017094481522324442,2.839810240502451,7.574967145919801,0.17459120314854842,-0.14109650457447226,2.4409397513465545,5.985605089288009,-10.853798687458038,1.0999840211103307,,,"William Contreras",20503,661388
"Lars Nootbaar","STL",583,-0.10843005613268455,,0.5182696067220797,-3.134868231164404,-18.15544068813324,-0.9329544779766037,-0.9434501169181545,0.2074932610547101,6.871506674536343,4.10909503698349,1.9691781086080213,,,"Lars Nootbaar",21454,663457
"Nico Hoerner","CHC",649,0.6026592028247142,,-0.4096815278453212,-4.0380120277404785,,0.16489333685418664,0.1814113791536585,-0.46973130641839445,8.603522181510925,8.310058216253918,2.3277047276496887,,,"Nico Hoerner",21479,663538
"Trevor Larnach","MIN",567,-0.36068323366236615,,0.4624607152496742,-0.10596795947150847,,-0.5039507692510431,-0.024171658645469076,0.27628151026177916,-2.140262871980667,,0.7792155830948442,,,"Trevor Larnach",21501,663616
"Jonathan India","KCR",567,-0.8662114739418031,,-0.6989344954490662,1.547212558880187,,-1.763218729119552,0.8806110627694388,3.893822375859055,1.954888254404068,12.98760175704956,-1.239140192667643,,,"Jonathan India",21523,663697
"Cal Raleigh","SEA",705,1.0882479627060617,,0.25278017255995006,2.9310925801595054,,5.9624667640204905,0.44545849550117567,1.505928599473202,1.5637031623295377,-1.0165849700570107,1.3283703806075886,,,"Cal Raleigh",21534,663728
"Jeremy Peña","HOU",543,3.41011056876242,,-0.8007527851476901,2.1594920466023106,,1.7098818648824454,-0.08123909265810168,1.3354074807814609,-1.4878133535385132,,-0.5803736181207042,,,"Jeremy Pena",21636,665161
"Oneil Cruz","PIT",544,-0.16826988495502276,,1.8005771769417658,1.572067179578416,,0.7620702669458481,-1.147276378813244,-1.420634510607868,-0.6250295130645528,,-0.7523826509714127,-74.70800876617432,,"Oneil Cruz",21711,665833
"Brice Turang","MIL",659,0.1836493208601668,,7.8433415747636195,-2.938006179673331,-8.820629119873047,0.23922192052080127,1.1912608791042019,-0.16820870252898695,3.9140694281634163,-25.436383485794067,0.5834050539160976,,,"Brice Turang",22186,668930
"Xavier Edwards","MIA",619,-0.8087246506302446,,4.5697893919768156,-0.5422417439666449,-6.236255168914795,-0.3865808160607442,0.5122752873213975,0.16296947641032083,3.646981053882175,,-0.5255035587124057,,,"Xavier Edwards",22266,669364
"Heliot Ramos","SFG",695,-0.50480100259497,,-1.5311117380694614,-2.615022659301758,-1.014882858310427,1.2157287392565,-0.22154610377911943,-0.09842453790562494,1.9845440032634327,-21.707597374916077,-0.06338531294694313,,,"Heliot Ramos",22515,671218
"Alejandro Kirk","TOR",506,0.6163528347991839,,-0.2314559986136552,3.319199239054034,,-0.5701116893602454,-0.7853428371943378,-0.7866587660728244,1.8307756919127245,-8.009603288438585,5.574530410766601,,,"Alejandro Kirk",22581,672386
"Maikel Garcia","KCR",666,-0.0743785288214369,,-2.328190803527832,1.1154673138602835,3.5962454974651337,0.10820654028520019,1.291722300639405,2.9551902124958653,9.45805499428197,-8.47879449526469,1.864561731415677,,,"Maikel Garcia",22715,672580
"Geraldo Perdomo","ARI",720,0.583648450353402,,1.5719076420398468,0.8821311955140015,-6.188854078451792,1.5680951094693425,2.1300799437243527,0.9365336559309425,3.778219223022461,77.08179354667664,0.6435363762931428,,,"Geraldo Perdomo",22799,672695
"Lenyn Sosa","CHW",544,-0.7215573016862223,,0.9693223237991332,-0.6628043949604034,,-0.6412319365264364,-0.40270480872189846,0.5276796304517323,-0.6229796522372478,,1.2975021644874856,,,"Lenyn Sosa",22896,672820
"Yainer Diaz","HOU",567,-0.06401249358015314,,-1.467964994279962,-2.3027739054720167,,1.3465340457745452,-0.8400492605994311,-0.8849249945746528,-4.092046245932579,0.7167473435401917,0.7279118958939897,,,"Yainer Diaz",23003,673237
"Eric Wagaman","MIA",514,-0.25319953250069904,,-3.839241623119184,-2.194903020201058,2.677178755402565,-1.0636827902879544,0.5539113868453459,0.8921700810629225,0.33895276925143075,,-0.4151765629649163,,,"Eric Wagaman",23395,676572
"Julio Rodríguez","SEA",710,1.055807809204797,,-2.4800685960419324,3.0610183253884315,,1.970022073201403,0.06143676317655123,0.10851675271987915,-1.7474109218234106,,0.7327556107114639,,,"Julio Rodriguez",23697,677594
"Ceddanne Rafaela","BOS",587,-0.22718187478872445,,-2.5560591902051653,-0.7736951112747192,-11.283513903617859,-2.708071219820936,0.13576735710275584,1.3123919632261163,3.1967526481997584,3.1290876013892035,1.5263070887569927,,,"Ceddanne Rafaela",24262,678882
"Addison Barger","TOR",502,-0.9050964180979443,,0.10308319839035592,7.126084495993222,,-0.02868684284664966,0.7693706185184919,-1.95593171649509,1.676322854295069,4.356671497225761,0.2691522299074659,,,"Addison Barger",24598,680718
"Steven Kwan","CLE",693,-1.0010715552069582,,-0.020802445385767067,-0.9096521034575346,,1.1476740931833027,0.04459474682807922,1.625613317097703,3.7669314278496637,,0.7594106878553119,,,"Steven Kwan",24610,680757
"Jarren Duran","BOS",696,0.8403061615082805,,1.3851499805847802,5.358207047875248,38.81629705429077,0.260476133815145,-0.7266378212355806,-1.6431483567929734,4.9134980307685,7.9628126961844305,-0.2782429737474007,,,"Jarren Duran",24617,680776
"Brendan Donovan","STL",515,2.0095066555840186,,0.06974804811848852,0.12907698040916807,-0.003631546029022762,-2.0887983523733245,0.2059214862424936,0.08434484242111125,-2.21101334018092,,4.047321942117479,,,"Brendan Donovan",24679,680977
"Andy Pages","LAD",624,0.33505980961907333,,-1.2581349855445954,3.7977229717165923,8.921898901462555,-0.8268241840312135,0.681631838689085,3.0156980326146257,-1.0140642523765564,,0.4313103530717933,,,"Andy Pages",24816,681624
"Brenton Doyle","COL",538,-0.8691252869739023,,-5.011314776406359,2.840381083281144,-2.3911377558341393,-0.9341249158305507,0.05669472535161207,-1.183378469376337,-2.5591424107551575,-16.81063324213028,0.2755705500021577,,,"Brenton Doyle",25479,686668
"Joey Ortiz","MIL",506,0.2735130255230628,,-2.2052909573938093,-3.2233909420345137,5.883142848809561,-2.5744476318359375,-1.9027221202850342,0.44063026205115363,-4.919557417592695,46.637773513793945,-2.366443191255842,,,"Joey Ortiz",25493,687401
"Bobby Witt Jr.","KCR",687,0.5424914128132704,,1.527249018351237,2.3431688991945183,-6.412915140390396,-0.7867493187657562,0.8035708255455142,4.515382811779112,6.5513177351518115,3.2541271299123764,2.322618166605632,,,"Bobby Witt Jr.",25764,677951
"CJ Abrams","WSN",635,0.20083740816103463,,1.5718432105317408,1.110624841281346,-4.825069308280945,1.9609259320543957,-0.5204361437004564,-2.329964352093534,-3.519055578443739,25.693931182225544,2.3485658249417365,,,"CJ Abrams",25768,682928
"Shea Langeliers","ATH",523,0.48035064473218486,,3.2921436137722844,5.7797045934767945,,2.7122022388698337,-0.9343865349536805,-0.7826881749289376,1.2321332166361254,46.637773513793945,2.903487764555832,,,"Shea Langeliers",25816,669127
"Corbin Carroll","ARI",642,2.849861858336906,,0.6725481487212972,3.1075936611567703,1.750882301065657,-0.9136277920490987,-0.2110725081206968,2.797214818555255,3.6383661131064096,,0.5121600785444487,,,"Corbin Carroll",25878,682998
